track_id,track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,streaming_count
2plbrEY59IikOBgBGLjaoe,Die With A Smile,Lady Gaga,100,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,251668,3,1000000
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,97,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,210373,4,970000
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,94,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,218424,4,940000
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,94,0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,157280,4,940000
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,93,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72E-05,0.193,0.273,94.938,211979,4,900000
1QoyuMHNBe7lg3YW4Qtll4,St. Chroma (feat. Daniel Caesar),"Tyler, The Creator",90,0.576,0.884,0,-5.058,1,0.555,0.357,0,0.368,0.373,150.45,197020,4,920000
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,92,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,166300,4,930000
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator",87,0.505,0.812,1,-3.986,1,0.461,0.285,0,0.444,0.664,80.09,255916,4,980000
5vNRhkKd0yEAg8suGBpjeY,APT.,ROSÉ,98,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,169917,4,870000
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),The Weeknd,92,0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56E-06,0.111,0.57,119.973,256000,4,920000
1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,Sabrina Carpenter,90,0.739,0.727,11,-5.968,0,0.0426,0.0678,0,0.104,0.676,94.99,171870,4,920000
0VaeksJaXy5R1nvcTMh3Xk,"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator",87,0.373,0.818,3,-3.19,0,0.102,0.36,0,0.434,0.361,97.571,253834,4,870000
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,92,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,261467,4,900000
5RePVWy39tLpHH0WwXgBsK,Rah Tah Tah,"Tyler, The Creator",87,0.661,0.878,1,-4.099,1,0.31,0.00289,0,0.381,0.514,82.557,165413,4,870000
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,92,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,170888,4,860000
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,Morgan Wallen,86,0.619,0.843,5,-5.348,0,0.0284,0.00948,0.000118,0.164,0.746,122.064,204829,4,900000
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,90,0.53,0.406,10,-7.507,1,0.033,0.656,0,0.133,0.338,115.94,157147,3,920000
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,88,0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,274192,4,880000
6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),"Tyler, The Creator",86,0.392,0.555,4,-6.707,0,0.039,0.287,0.000253,0.13,0.191,96.063,278015,3,860000
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,Tommy Richman,88,0.852,0.697,1,-5.52,0,0.0439,0.0973,0.00037,0.0678,0.919,138.029,155152,4,880000
2aYHxnMF2umAavtgBvmkY1,Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator",85,0.77,0.859,10,-3.382,0,0.275,0.362,0,0.673,0.64,129.77,207273,4,850000
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,85,0.525,0.488,0,-6.909,1,0.038,0.191,5.14E-05,0.135,0.253,84.999,194920,4,850000
21B4gaTWnTkuSh77iWEXdS,Juno,Sabrina Carpenter,87,0.633,0.725,5,-4.257,1,0.0427,0.0461,0,0.205,0.64,130.504,223192,4,870000
1YdtGoSYDvVQKoUqSDXX41,Noid,"Tyler, The Creator",85,0.38,0.784,1,-6.004,1,0.299,0.523,0.000139,0.494,0.418,82.318,284364,4,930000
1cOboCuWYI2osTOfolMRS6,Tu Boda,Oscar Maydon,93,0.694,0.651,6,-6.968,1,0.0784,0.496,1.36E-05,0.0787,0.471,112.648,225881,3,850000
102YUQbYmwdBXS7jwamI90,Good Graces,Sabrina Carpenter,86,0.758,0.759,5,-5.315,1,0.0479,0.329,3.96E-06,0.144,0.732,126.012,185265,4,860000
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),Post Malone,84,0.644,0.874,0,-4.723,1,0.0265,0.0113,0,0.227,0.753,128.017,178206,4,830000
5AH31dDNgxCMGDdxubNNn4,NEL,Fuerza Regida,89,0.69,0.482,7,-6.335,0,0.2,0.523,0.0004,0.0728,0.356,100.029,149074,4,880000
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,83,0.705,0.339,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.457,97.989,236907,4,840000
51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,87,0.432,0.583,8,-4.682,1,0.0687,0.174,0,0.0933,0.544,181.489,161831,4,890000
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,88,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36E-06,0.205,0.708,103.963,175459,4,820000
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,89,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,180304,3,870000
5iJKGpnFfvbjZJeAtwXfCj,28,Zach Bryan,82,0.492,0.519,7,-6.886,1,0.0288,0.227,8.47E-05,0.0693,0.435,80.868,233333,3,830000
7Fzl7QaTu47WyP9R5S5mh5,Lies Lies Lies,Morgan Wallen,82,0.486,0.702,1,-5.758,0,0.0298,0.239,7.54E-05,0.0912,0.382,81.053,198069,4,830000
6ie0uyyvOKTTuIFBMPiNIl,Judge Judy,"Tyler, The Creator",83,0.622,0.661,1,-5.906,1,0.0826,0.297,0.000135,0.165,0.362,76.331,269622,4,870000
4BSR9I4ExlCJdXJo2GpBD5,Take Your Mask Off (feat. Daniel Caesar & LaToiya Williams),"Tyler, The Creator",83,0.503,0.658,6,-5.823,0,0.154,0.46,0,0.382,0.515,121.784,253910,5,890000
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,90,0.701,0.76,0,-5.478,1,0.0285,0.107,6.54E-05,0.185,0.69,103.969,175459,4,900000
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),Dasha,87,0.756,0.672,0,-6.743,1,0.0522,0.464,3.37E-06,0.108,0.739,114.935,171783,4,860000
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,86,0.722,0.709,9,-4.95,1,0.0273,0.0633,0,0.0804,0.604,81.012,171292,4,820000
3Umj02ZNl4d356pS1D38mn,Hey Jane,"Tyler, The Creator",83,0.495,0.784,10,-7.027,0,0.42,0.555,0,0.621,0.669,94.563,240742,4,870000
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,Sabrina Carpenter,87,0.675,0.586,9,-6.086,1,0.0531,0.257,0,0.104,0.621,107.015,186365,4,830000
6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,82,0.487,0.658,5,-9.973,1,0.0296,0.00877,0.00777,0.1,0.282,142.18,210950,4,820000
35D1RA5uVFVhMc1qX80TaQ,Balloon (feat. Doechii),"Tyler, The Creator",82,0.437,0.868,6,-3.03,1,0.112,0.731,0,0.234,0.475,111.774,154261,4,820000
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,84,0.722,0.706,9,-4.857,1,0.0292,0.072,0,0.067,0.599,80.969,171292,4,880000
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),Post Malone,84,0.638,0.855,7,-4.86,1,0.0264,0.00757,0,0.245,0.731,127.986,178206,4,840000
7BRD7x5pt8Lqa1eGYC4dzj,CHIHIRO,Billie Eilish,88,0.7,0.425,7,-12.531,1,0.0529,0.144,0.879,0.083,0.521,110.015,303440,4,820000
4Na2HfNSr58chvfX69fy36,one of wun,Gunna,84,0.915,0.453,10,-4.589,0,0.27,0.0872,0.000163,0.104,0.287,139.943,144000,4,880000
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Addison Rae,88,0.669,0.561,10,-6.538,1,0.0411,0.495,0.00962,0.0954,0.841,150.069,169698,4,840000
3GdwjAsCsoE79ObhsJFyYb,I Killed You,"Tyler, The Creator",82,0.749,0.896,2,-4.909,1,0.219,0.356,0.00075,0.267,0.447,97.121,168421,4,880000
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,88,0.669,0.586,9,-6.073,1,0.054,0.274,0,0.104,0.579,107.071,186365,4,840000
629DixmZGHc7ILtEntuiWE,LUNCH,Billie Eilish,86,0.893,0.4,11,-7.981,0,0.0643,0.0452,0.0823,0.0632,0.945,124.987,179587,4,850000
2tudvzsrR56uom6smgOcSf,Like That,Future,83,0.814,0.676,11,-4.67,0,0.231,0.00709,1.28E-05,0.119,0.312,162.012,267707,4,830000
2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,Don Toliver,85,0.757,0.628,4,-6.715,0,0.101,0.189,0.0209,0.221,0.321,119.98,217333,4,850000
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,88,0.635,0.601,1,-6.129,0,0.0295,0.246,0,0.11,0.332,123.994,172533,4,880000
3Pbp7cUCx4d3OAkZSCoNvn,Scared To Start,Michael Marcagi,85,0.527,0.551,7,-11.258,1,0.0345,0.384,2.75E-06,0.403,0.443,148.035,159636,4,860000
5lKFO0PrOC9jmOlPEdjHsL,DOS DÍAS,Tito Double P,88,0.745,0.513,1,-9.116,1,0.087,0.783,0,0.216,0.929,109.935,154620,3,760000
3yw3m8wgRB4ptDyAvtdhq5,Tomorrow,"Tyler, The Creator",81,0.463,0.541,1,-6.594,1,0.0385,0.811,6.61E-05,0.125,0.307,95.827,182326,4,810000
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,93,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,195824,4,930000
24XihnoVPWXlKJ4BgXqjVM,It's ok I'm ok,Tate McRae,85,0.754,0.514,1,-7.721,0,0.0471,0.0257,3.98E-05,0.0808,0.363,114.997,156522,4,880000
4CcozggmhXmndssEDH6YHR,High Road,Zach Bryan,75,0.47,0.229,4,-11.028,1,0.0406,0.815,0,0.172,0.213,113.404,199893,4,850000
1bjeWoagtHmUKputLVyDxQ,Saturn,SZA,85,0.411,0.619,1,-6.834,1,0.0368,0.62,0,0.11,0.337,177.937,186192,4,850000
5oIVNm56t6OIf9ZjdEG3ud,Coincidence,Sabrina Carpenter,83,0.418,0.815,9,-6.216,1,0.125,0.362,0,0.125,0.758,77.862,164203,4,860000
0OA00aPt3BV10qeMIs3meW,Big Dawgs,Hanumankind,86,0.464,0.745,4,-3.202,0,0.161,0.0235,0,0.363,0.262,180.098,190667,4,830000
2aYZaN5SmkRDLsrrV8GkBQ,LA PATRULLA,Peso Pluma,86,0.722,0.74,6,-7.22,0,0.063,0.68,3.27E-05,0.176,0.893,132.731,130615,3,780000
76JKIsdKrAfWUMjaA0u7v5,Too Sweet,Hozier,78,0.741,0.62,10,-5.505,1,0.0412,0.0295,0.000809,0.0398,0.934,117.038,251424,4,780000
28drn6tQo95MRvO0jQEo5C,Type Shit,Future,84,0.64,0.552,2,-5.679,1,0.129,0.0215,0,0.119,0.112,144.941,228267,4,840000
3t6gUcGYLrUuqwpXjOFWQc,I Never Lie,Zach Top,77,0.782,0.641,3,-6.431,1,0.0275,0.332,0.00923,0.108,0.522,107.997,224907,4,860000
3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,Charli xcx,85,0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,145219,4,800000
0pvZCv4JOS5WBu7JITYef6,I Hope You Find Your Way Home,"Tyler, The Creator",80,0.621,0.596,4,-4.35,1,0.0607,0.294,5.53E-05,0.134,0.207,112.188,269704,4,850000
2cZOYofOX4d6g0OXxkaIjA,ALL RED,Playboi Carti,82,0.76,0.663,9,-4.763,0,0.0551,0.109,0,0.305,0.209,143.082,148053,4,830000
1jKXjxMWlq4BhH6f9GtZbu,TORE UP,Don Toliver,83,0.534,0.819,11,-4.329,1,0.038,0.0012,0.0011,0.112,0.0806,154.994,126987,4,780000
3EO58D1YpHnTvBy68gK8HE,Wind Up Missin’ You,Tucker Wetmore,78,0.571,0.717,6,-5.807,1,0.0365,0.508,1.17E-06,0.112,0.661,171.858,166667,4,890000
